n_hidden,n_layers,lr,epochs,bs,dropout,valid_acc_mean,valid_acc_std,repeats
50,1,0.001,30,64,0.5,0.6691649748535043,0.03254554689613131,3
50,1,0.001,30,64,0.7,0.6588276119288209,0.01711268992722501,3
50,1,0.001,30,100,0.5,0.7108306802626925,0.03336381989806955,3
50,1,0.001,30,100,0.7,0.6886198649625493,0.051134252589705345,3
50,1,0.001,45,64,0.5,0.6969116719728078,0.04210599397757585,3
50,1,0.001,45,64,0.7,0.669583121856688,0.04253398592643859,3
50,1,0.001,45,100,0.5,0.6943085867208048,0.010550642364955572,3
50,1,0.001,45,100,0.7,0.6543318107014873,0.018901442973297874,3
50,1,0.0005,30,64,0.5,0.6974720850828219,0.007472038950571294,3
50,1,0.0005,30,64,0.7,0.7146536012550176,0.02338884210318715,3
50,1,0.0005,30,100,0.5,0.6776365370122579,0.028274026844770497,3
50,1,0.0005,30,100,0.7,0.6547528414771066,0.041642400389850474,3
50,1,0.0005,45,64,0.5,0.6623583106476567,0.017437895769205406,3
50,1,0.0005,45,64,0.7,0.6801242713668311,0.05955305151362435,3
50,1,0.0005,45,100,0.5,0.6855851751026623,0.04465291092139331,3
50,1,0.0005,45,100,0.7,0.6542058859717929,0.026867036093337095,3
50,2,0.001,30,64,0.5,0.6755294606192036,0.013959393680685042,3
50,2,0.001,30,64,0.7,0.667832671988188,0.021364826242541112,3
50,2,0.001,30,100,0.5,0.6768886786939202,0.027057828514610728,3
50,2,0.001,30,100,0.7,0.6995041833925467,0.017774060907329536,3
50,2,0.001,45,64,0.5,0.6658784355342284,0.029593684169487156,3
50,2,0.001,45,64,0.7,0.686944393177379,0.03517601269074598,3
50,2,0.001,45,100,0.5,0.7030348821113828,0.04473859766298276,3
50,2,0.001,45,100,0.7,0.6984371875913195,0.009503759649778221,3
50,2,0.0005,30,64,0.5,0.6619026746028084,0.01442907525478666,3
50,2,0.0005,30,64,0.7,0.6726341530937111,0.01816607460587504,3
50,2,0.0005,30,100,0.5,0.6767867854011903,0.03381625888975324,3
50,2,0.0005,30,100,0.7,0.6829715160183946,0.013400827797090967,3
50,2,0.0005,45,64,0.5,0.6747921761331304,0.0024731105675712024,3
50,2,0.0005,45,64,0.7,0.6938664082806564,0.010846374902681324,3
50,2,0.0005,45,100,0.5,0.6751113136160197,0.014243842932509935,3
50,2,0.0005,45,100,0.7,0.6947430751011242,0.035949063719500136,3
128,1,0.001,30,64,0.5,0.6915526615297066,0.015356356978986517,3
128,1,0.001,30,64,0.7,0.6817997431520016,0.0069683850649399975,3
128,1,0.001,30,100,0.5,0.6962387917377998,0.020895618775302462,3
128,1,0.001,30,100,0.7,0.6316893907934603,0.015442928241456846,3
128,1,0.001,45,64,0.5,0.6471310309294206,0.0063253449039091655,3
128,1,0.001,45,64,0.7,0.6347240806533474,0.009411427163626392,3
128,1,0.001,45,100,0.5,0.6795773158615174,0.0033605806164094566,3
128,1,0.001,45,100,0.7,0.5984173856872607,0.008116031065854535,3
128,1,0.0005,30,64,0.5,0.715224588197296,0.03086251227571246,3
128,1,0.0005,30,64,0.7,0.6984237299866193,0.03376687459216592,3
128,1,0.0005,30,100,0.5,0.680226164659561,0.01329121514590635,3
128,1,0.0005,30,100,0.7,0.7098146311078298,0.03268575939208823,3
128,1,0.0005,45,64,0.5,0.7079728617788645,0.017628176310515192,3
128,1,0.0005,45,64,0.7,0.7008230286531628,0.008436999876034662,3
128,1,0.0005,45,100,0.5,0.6983218366938894,0.02334051304955773,3
128,1,0.0005,45,100,0.7,0.6799714314277364,0.04155819230743584,3
128,2,0.001,30,64,0.5,0.7002280102739199,0.035368263106399116,3
128,2,0.001,30,64,0.7,0.7140182100616741,0.004584373069648027,3
128,2,0.001,30,100,0.5,0.7085332748888785,0.04463273370919287,3
128,2,0.001,30,100,0.7,0.6968876405358433,0.00724227906985153,3
128,2,0.001,45,64,0.5,0.7161387440594287,0.01952991699563538,3
128,2,0.001,45,64,0.7,0.7006326996724034,0.0280453763163672,3
128,2,0.001,45,100,0.5,0.7067799412479429,0.0051546313498655755,3
128,2,0.001,45,100,0.7,0.7101952890693489,0.03457092977193533,3
128,2,0.0005,30,64,0.5,0.6721516018394622,0.01117843449392727,3
128,2,0.0005,30,64,0.7,0.6678326719881881,0.013057863186967457,3
128,2,0.0005,30,100,0.5,0.6939683015733862,0.014163543145089058,3
128,2,0.0005,30,100,0.7,0.6752237807410141,0.007791038770294041,3
128,2,0.0005,45,64,0.5,0.695935995632046,0.012645240158871246,3
128,2,0.0005,45,64,0.7,0.6938394930712559,0.028886466437417546,3
128,2,0.0005,45,100,0.5,0.6925956258939694,0.018394825095697655,3
